Item,Description of Goods,CGST,SGST_UTGST,IGST
"0202
 0203
 0204
 0205
 0206
 0207
 0208
 0209
 0210","All goods [other than fresh or chilled], and put up in unit container and,- 
 (a) bearing a registered brand name; or 
 (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available [other than those where any actionable claim or enforceable right in respect of such brand name has been foregone voluntarily], subject to the conditions as in the ANNEXURE]",2.5,2.5,5
"0303
 0304
 0305
 0306
 0307
 0308","All goods [other than fresh or chilled] and put up in unit container and,- 
 (a) bearing a registered brand name; or 
 (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available [other than those where any actionable claim or enforceable right in respect of such brand name has been foregone voluntarily], subject to the conditions as in the ANNEXURE]",2.5,2.5,5
0401,Ultra High Temperature (UHT) milk,2.5,2.5,5
0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter, including skimmed milk powder, milk food for babies [other than condensed milk]",2.5,2.5,5
0403,"Cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",2.5,2.5,5
0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2.5,2.5,5
0406,"Chena or paneer put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
0408,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter.",2.5,2.5,5
0409,"Natural honey, put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
0410,"Edible products of animal origin, not elsewhere specified or included",2.5,2.5,5
0502,"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair.",2.5,2.5,5
0504,"All goods [other than fresh or chilled] and put up in unit container and, -
 (a) bearing a registered brand name; or 
 (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or enforceable right in respect of such brand name has been foregone voluntarily], subject to the conditions as in the ANNEXURE.",2.5,2.5,5
0505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers",2.5,2.5,5
0507 [Except 050790],"Ivory, tortoise-shell, whalebone and whalebone hair, horns, unworked or simply prepared but not cut to shape; powder and waste of these products.",2.5,2.5,5
0508,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof.",2.5,2.5,5
0510,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved.",2.5,2.5,5
0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption, other than semen including frozen semen.",2.5,2.5,5
07,"Herb, bark, dry plant, dry root, commonly known as jaribooti and dry flower",2.5,2.5,5
0713,"Dried leguminous vegetables, shelled, whether or not skinned or split put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available [other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE]",2.5,2.5,5
0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, frozen, whether or not sliced or in the form of pellets, put up in unit container and,- 
 (a) bearing a registered brand name; or 
 (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or enforceable right in respect of such brand name has been foregone voluntarily, subject to the conditions as in the ANNEXURE.",2.5,2.5,5
0801,"Cashew nuts, whether or not shelled or peeled, desiccated coconuts",2.5,2.5,5
0802,"Dried areca nuts, whether or not shelled or peeled",2.5,2.5,5
"0802, 0813","Dried chestnuts (singhada), whether or not shelled or peeled",2.5,2.5,5
0802,"Walnuts, whether or not shelled.",2.5,2.5,5
08,"Dried makhana, whether or not shelled or peeled,put up in unit container and,- 
 (a) bearing a registered brand name; or 
 (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or enforceable right in respect of such brand name has been foregone voluntarily, subject to the conditions as in the ANNEXURE.",2.5,2.5,5
0804,"Mangoes sliced, dried.",2.5,2.5,5
0806,"Grapes, dried, and raisins",2.5,2.5,5
0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter",2.5,2.5,5
0812,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",2.5,2.5,5
0814,"Peel of citrus fruit or melons (including watermelons), frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions",2.5,2.5,5
0901,"Coffee, roasted whether or not or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion other than coffee beans not roasted.",2.5,2.5,5
0902,"Tea, whether or not flavoured other than unprocessed green leaves of tea.",2.5,2.5,5
0903,Maté,2.5,2.5,5
0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta,2.5,2.5,5
0905,Vanilla,2.5,2.5,5
0906,Cinnamon and cinnamon-tree flowers,2.5,2.5,5
0907,"Cloves (whole fruit, cloves and stems)",2.5,2.5,5
0908,"Nutmeg, mace and cardamoms",2.5,2.5,5
0909,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries other than of seed quality.",2.5,2.5,5
"0910 [other than 0910 11 10, 0910 30 10]","Ginger other than fresh ginger, saffron, turmeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices",2.5,2.5,5
10,"All goods i.e. cereals, put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE.",2.5,2.5,5
1001,"Wheat and meslin put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE.",2.5,2.5,5
1002,"Rye put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1003,"Barley put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1004,"Oats put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1005,"Maize (corn) put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1006,"Rice put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1007,"Grain sorghum put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1008,"Buckwheat, millet and canary seed; other cereals such as Jawar, Bajra, Ragi] put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1101,"Wheat or meslin flour put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1102,"Cereal flours other than of wheat or meslin i.e. maize (corn) flour, Rye flour, etc. put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1103,"Cereal groats, meal and pellets, including suji and dalia, put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1104,"Cereal grains otherwise worked (for example, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground [other than hulled cereal grains]",2.5,2.5,5
1105,"Meal, powder, Flour, flakes, granules and pellets of potatoes put up in unit container and,- (a) bearing a registered brand name; or (b) bearing a brand name on which an actionable claim or enforceable right in a court of law is available other than those where any actionable claim or any enforceable right in respect of such brand name has been voluntarily foregone, subject to the conditions as in the ANNEXURE",2.5,2.5,5
1106,"Meal and powder of the dried leguminous vegetables of heading 0713 (pulses) [other than guar meal 1106 10 10 and guar gum refined split 0713], of sago or of roots or tubers of heading 0714 or of the products of Chapter 8, put up in unit container and bearing a registered brand name",2.5,2.5,5
713,Guar gum refined split,2.5,2.5,5
1109 00 00,"Wheat gluten, whether or not dried",2.5,2.5,5
